entity,type,source_url
Isaac Asimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
"c. January 2, 1920[a",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Petrovichi,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Soviet Russia,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
"April 6, 1992",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
New York City,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
U.S.,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
72,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
United States,GPE,https://en.wikipedia.org/wiki/Isaac_Asimov
Columbia University,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
PhD,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Boston University,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
1948,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Charles Reginald Dawson,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Robert Elderfield,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
"January 2, 1920[a] – April 6, 1992",DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Robert A. Heinlein,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Arthur C. Clarke.[2,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Bible,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Shakespeare,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Hugo Award,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Best All-Time Series,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Edward Gibbon's,PERSON,https://en.wikipedia.org/wiki/Isaac_Asimov
The History of the Decline and Fall of the Roman Empire,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Galactic Empire,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
Robot,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
The Caves of Steel,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
The Naked Sun,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
the mid-1950s,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
Foundation and Earth,ORG,https://en.wikipedia.org/wiki/Isaac_Asimov
1986,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
Nightfall,WORK_OF_ART,https://en.wikipedia.org/wiki/Isaac_Asimov
1964,DATE,https://en.wikipedia.org/wiki/Isaac_Asimov
