Private Entity,External URI,Confidence
Isaac Asimov,http://dbpedia.org/resource/Isaac_Asimov,1.0
Asimov,http://dbpedia.org/resource/Asimov,1.0
Robert A. Heinlein,http://dbpedia.org/resource/Robert_A._Heinlein,1.0
Arthur C. Clarke.[2,Not Found,0.0
Bible,http://dbpedia.org/resource/Bible,1.0
Shakespeare,http://dbpedia.org/resource/Shakespeare,1.0
Foundation,http://dbpedia.org/resource/Foundation,1.0
the one-time Hugo Award,Not Found,0.0
Best All-Time Series,Not Found,0.0
Edward Gibbon's,Not Found,0.0
The History of the Decline and Fall,Not Found,0.0
Galactic Empire,http://dbpedia.org/resource/Galactic_Empire,1.0
Robot,http://dbpedia.org/resource/Robot,1.0
The Caves of Steel,http://dbpedia.org/resource/The_Caves_of_Steel,1.0
The Naked Sun,http://dbpedia.org/resource/The_Naked_Sun,1.0
Earth,http://dbpedia.org/resource/Earth,1.0
Nightfall,http://dbpedia.org/resource/Nightfall,1.0
Lucky Starr,http://dbpedia.org/resource/Lucky_Starr,1.0
Paul French.[6,Not Found,0.0
Guide to Science,Not Found,0.0
Understanding Physics,http://dbpedia.org/resource/Understanding_Physics,1.0
Chronology of Science and Discovery,Not Found,0.0
Azimov,http://dbpedia.org/resource/Azimov,1.0
Asimov.[1,Not Found,0.0
"Spell My Name with an S"".[15",Not Found,0.0
Anna Rachel,Not Found,0.0
Berman,http://dbpedia.org/resource/Berman,1.0
Judah Asimov,Not Found,0.0
Isaac,http://dbpedia.org/resource/Isaac,1.0
Isaac Berman.[19,Not Found,0.0
Marcia,http://dbpedia.org/resource/Marcia,1.0
Stanley,http://dbpedia.org/resource/Stanley,1.0
Ellis Island and I,Not Found,0.0
The Tyrannosaurus Prescription,Not Found,0.0
Ellis Island: Enter One Immigrant ... Sprouting Measles,Not Found,0.0
Frank Herbert,http://dbpedia.org/resource/Frank_Herbert,1.0
Franklin Patrick Herbert Jr.,Not Found,0.0
Dune,http://dbpedia.org/resource/Dune,1.0
David Lynch's,Not Found,0.0
Frank Herbert's,Not Found,0.0
Children of Dune,http://dbpedia.org/resource/Children_of_Dune,1.0
Denis Villeneuve's,Not Found,0.0
Dune: Part Two,http://dbpedia.org/resource/Dune:_Part_Two,1.0
Patrick Herbert Jr.,Not Found,0.0
Franklin Patrick Herbert Sr.,Not Found,0.0
Eileen (née McCarthy,Not Found,0.0
Patricia Lou,Not Found,0.0
Frank,http://dbpedia.org/resource/Frank,1.0
"Peggy ""Violet"" Rowntree",Not Found,0.0
"Ken Rowntree, Sr.[17",Not Found,0.0
Patricia,http://dbpedia.org/resource/Patricia,1.0
Herbert,http://dbpedia.org/resource/Herbert,1.0
Flora Lillian Parkinson,Not Found,0.0
Penelope,http://dbpedia.org/resource/Penelope,1.0
Beverly Ann Stuart,Not Found,0.0
Survival of the Cunning,Not Found,0.0
Stuart,http://dbpedia.org/resource/Stuart,1.0
Brian,http://dbpedia.org/resource/Brian,1.0
Bruce Calvin Herbert,Not Found,0.0
Ralph,http://dbpedia.org/resource/Ralph,1.0
Irene Slattery,Not Found,0.0
Slatterys,Not Found,0.0
Freud,http://dbpedia.org/resource/Freud,1.0
Jung,http://dbpedia.org/resource/Jung,1.0
Jaspers,http://dbpedia.org/resource/Jaspers,1.0
Heidegger,http://dbpedia.org/resource/Heidegger,1.0
H. G. Wells,http://dbpedia.org/resource/H._G._Wells,1.0
Poul Anderson,http://dbpedia.org/resource/Poul_Anderson,1.0
Jack Vance.[24,Not Found,0.0
Looking for Something,Not Found,0.0
Samuel Mines,Not Found,0.0
Under Pressure,http://dbpedia.org/resource/Under_Pressure,1.0
The Dragon in the Sea.[25,Not Found,0.0
Arthur C. Clarke,http://dbpedia.org/resource/Arthur_C._Clarke,1.0
Arthur Charles Clarke,http://dbpedia.org/resource/Arthur_Charles_Clarke,1.0
Clarke,http://dbpedia.org/resource/Clarke,1.0
the Kalinga Prize,Not Found,0.0
"Prophet of the Space Age"".[4",Not Found,0.0
Hugo,http://dbpedia.org/resource/Hugo,1.0
Nebula,http://dbpedia.org/resource/Nebula,1.0
Robert Heinlein,http://dbpedia.org/resource/Robert_Heinlein,1.0
Isaac Asimov.[5,Not Found,0.0
2001: A Space Odyssey,http://dbpedia.org/resource/2001:_A_Space_Odyssey,1.0
Arthur C. Clarke's,Not Found,0.0
Mysterious World,http://dbpedia.org/resource/Mysterious_World,1.0
Last and First Men,http://dbpedia.org/resource/Last_and_First_Men,1.0
Olaf Stapledon,http://dbpedia.org/resource/Olaf_Stapledon,1.0
The Conquest of Space,http://dbpedia.org/resource/The_Conquest_of_Space,1.0
David Lasser,http://dbpedia.org/resource/David_Lasser,1.0
Marion Eadie,Not Found,0.0
Astronautics,http://dbpedia.org/resource/Astronautics,1.0
Walt Disney,http://dbpedia.org/resource/Walt_Disney,1.0
Fantasia,http://dbpedia.org/resource/Fantasia,1.0
Ego,http://dbpedia.org/resource/Ego,1.0
Glide Path,http://dbpedia.org/resource/Glide_Path,1.0
Philip K. Dick,http://dbpedia.org/resource/Philip_K._Dick,1.0
Philip Kindred Dick,http://dbpedia.org/resource/Philip_Kindred_Dick,1.0
Dick,http://dbpedia.org/resource/Dick,1.0
The Man in the High Castle,http://dbpedia.org/resource/The_Man_in_the_High_Castle,1.0
a Hugo Award for Best Novel,Not Found,0.0
Do Androids Dream of Electric Sheep,http://dbpedia.org/resource/Do_Androids_Dream_of_Electric_Sheep,1.0
Ubik,http://dbpedia.org/resource/Ubik,1.0
"Flow My Tears, the Policeman Said","http://dbpedia.org/resource/Flow_My_Tears,_the_Policeman_Said",1.0
the John W. Campbell Memorial Award,Not Found,0.0
Best Science Fiction Novel.[9,Not Found,0.0
A Scanner Darkly,http://dbpedia.org/resource/A_Scanner_Darkly,1.0
VALIS,http://dbpedia.org/resource/VALIS,1.0
The Transmigration of Timothy Archer,http://dbpedia.org/resource/The_Transmigration_of_Timothy_Archer,1.0
The Exegesis of Philip K. Dick,http://dbpedia.org/resource/The_Exegesis_of_Philip_K._Dick,1.0
Franz Kafka,http://dbpedia.org/resource/Franz_Kafka,1.0
"Thomas Pynchon"".[12",Not Found,0.0
Blade Runner,http://dbpedia.org/resource/Blade_Runner,1.0
Blade Runner 2049,http://dbpedia.org/resource/Blade_Runner_2049,1.0
Total Recall,http://dbpedia.org/resource/Total_Recall,1.0
Screamers,http://dbpedia.org/resource/Screamers,1.0
Minority Report,http://dbpedia.org/resource/Minority_Report,1.0
The Adjustment Bureau,http://dbpedia.org/resource/The_Adjustment_Bureau,1.0
Radio Free Albemuth,http://dbpedia.org/resource/Radio_Free_Albemuth,1.0
Electric Dreams,http://dbpedia.org/resource/Electric_Dreams,1.0
Kindred Dick,Not Found,0.0
Jane Charlotte Dick,Not Found,0.0
Dorothy,http://dbpedia.org/resource/Dorothy,1.0
Kindred,http://dbpedia.org/resource/Kindred,1.0
Joseph Edgar Dick,Not Found,0.0
Jane,http://dbpedia.org/resource/Jane,1.0
Philip,http://dbpedia.org/resource/Philip,1.0
Joseph,http://dbpedia.org/resource/Joseph,1.0
Stirring Science Stories,http://dbpedia.org/resource/Stirring_Science_Stories,1.0
Ursula K. Le Guin,http://dbpedia.org/resource/Ursula_K._Le_Guin,1.0
Anne,http://dbpedia.org/resource/Anne,1.0
Robert Duncan,http://dbpedia.org/resource/Robert_Duncan,1.0
Jack Spicer,http://dbpedia.org/resource/Jack_Spicer,1.0
Ursula Kroeber Le Guin,http://dbpedia.org/resource/Ursula_Kroeber_Le_Guin,1.0
Kroeber,http://dbpedia.org/resource/Kroeber,1.0
Le Guin,http://dbpedia.org/resource/Le_Guin,1.0
Theodora Kroeber,http://dbpedia.org/resource/Theodora_Kroeber,1.0
Alfred Louis Kroeber,http://dbpedia.org/resource/Alfred_Louis_Kroeber,1.0
Charles Le Guin,http://dbpedia.org/resource/Charles_Le_Guin,1.0
A Wizard of Earthsea,http://dbpedia.org/resource/A_Wizard_of_Earthsea,1.0
The Left Hand of Darkness,http://dbpedia.org/resource/The_Left_Hand_of_Darkness,1.0
Harold Bloom,http://dbpedia.org/resource/Harold_Bloom,1.0
Carl Jung,http://dbpedia.org/resource/Carl_Jung,1.0
Le Guin's,Not Found,0.0
Always Coming Home,http://dbpedia.org/resource/Always_Coming_Home,1.0
The Ones Who Walk Away from Omelas,http://dbpedia.org/resource/The_Ones_Who_Walk_Away_from_Omelas,1.0
The Dispossessed,http://dbpedia.org/resource/The_Dispossessed,1.0
Hugo Awards,http://dbpedia.org/resource/Hugo_Awards,1.0
Locus Awards,http://dbpedia.org/resource/Locus_Awards,1.0
the National Book Foundation Medal for Distinguished Contribution to American Letters,Not Found,0.0
Booker Prize,http://dbpedia.org/resource/Booker_Prize,1.0
Salman Rushdie,http://dbpedia.org/resource/Salman_Rushdie,1.0
David Mitchell,http://dbpedia.org/resource/David_Mitchell,1.0
Neil Gaiman,http://dbpedia.org/resource/Neil_Gaiman,1.0
Iain Banks,http://dbpedia.org/resource/Iain_Banks,1.0
John Clute,http://dbpedia.org/resource/John_Clute,1.0
Michael Chabon,http://dbpedia.org/resource/Michael_Chabon,1.0
Theodora Covel Kracaw,Not Found,0.0
Ishi,http://dbpedia.org/resource/Ishi,1.0
Two Worlds,http://dbpedia.org/resource/Two_Worlds,1.0
Alfred Kroeber,http://dbpedia.org/resource/Alfred_Kroeber,1.0
Karl,http://dbpedia.org/resource/Karl,1.0
Theodore,http://dbpedia.org/resource/Theodore,1.0
Robert Oppenheimer,http://dbpedia.org/resource/Robert_Oppenheimer,1.0
Oppenheimer,http://dbpedia.org/resource/Oppenheimer,1.0
Shevek,Not Found,0.0
The Dispossessed.[10][12,Not Found,0.0
Thrilling Wonder Stories,http://dbpedia.org/resource/Thrilling_Wonder_Stories,1.0
Astounding Science Fiction,http://dbpedia.org/resource/Astounding_Science_Fiction,1.0
Dunsany,http://dbpedia.org/resource/Dunsany,1.0
Lewis Padgett.[12,Not Found,0.0
Mary Shelley's,Not Found,0.0
Frankenstein,http://dbpedia.org/resource/Frankenstein,1.0
Jules Verne,http://dbpedia.org/resource/Jules_Verne,1.0
Peter Nicholls,http://dbpedia.org/resource/Peter_Nicholls,1.0
Lester del Rey,http://dbpedia.org/resource/Lester_del_Rey,1.0
The Literature Book,Not Found,0.0
David Seed,Not Found,0.0
Damon Knight,http://dbpedia.org/resource/Damon_Knight,1.0
Forrest J Ackerman,http://dbpedia.org/resource/Forrest_J_Ackerman,1.0
Donovan's Brain,http://dbpedia.org/resource/Donovan's_Brain,1.0
Jesse Zunser,Not Found,0.0
Terry Carr,http://dbpedia.org/resource/Terry_Carr,1.0
Dune (novel,http://dbpedia.org/resource/Dune_(novel,1.0
Dune World,http://dbpedia.org/resource/Dune_World,1.0
Prophet of Dune,http://dbpedia.org/resource/Prophet_of_Dune,1.0
Roger Zelazny's,Not Found,0.0
This Immortal,http://dbpedia.org/resource/This_Immortal,1.0
the Hugo Award for Best Novel,Not Found,0.0
Nebula Award,http://dbpedia.org/resource/Nebula_Award,1.0
the Dune Chronicles,Not Found,0.0
Paul Atreides,http://dbpedia.org/resource/Paul_Atreides,1.0
Dune Messiah,http://dbpedia.org/resource/Dune_Messiah,1.0
God Emperor of Dune,http://dbpedia.org/resource/God_Emperor_of_Dune,1.0
Heretics of Dune,http://dbpedia.org/resource/Heretics_of_Dune,1.0
Chapterhouse: Dune,http://dbpedia.org/resource/Chapterhouse:_Dune,1.0
Brian Herbert,http://dbpedia.org/resource/Brian_Herbert,1.0
Kevin J. Anderson,http://dbpedia.org/resource/Kevin_J._Anderson,1.0
Alejandro Jodorowsky,http://dbpedia.org/resource/Alejandro_Jodorowsky,1.0
David Lynch,http://dbpedia.org/resource/David_Lynch,1.0
Denis Villeneuve,http://dbpedia.org/resource/Denis_Villeneuve,1.0
Academy Awards,http://dbpedia.org/resource/Academy_Awards,1.0
Best Picture,http://dbpedia.org/resource/Best_Picture,1.0
Villeneuve,http://dbpedia.org/resource/Villeneuve,1.0
The Dragon in the Sea,http://dbpedia.org/resource/The_Dragon_in_the_Sea,1.0
Lurton Blassingame,http://dbpedia.org/resource/Lurton_Blassingame,1.0
They Stopped the Moving Sands,Not Found,0.0
The Road to Dune,http://dbpedia.org/resource/The_Road_to_Dune,1.0
Henry,http://dbpedia.org/resource/Henry,1.0
Henry Martin,http://dbpedia.org/resource/Henry_Martin,1.0
Howard Hansen,http://dbpedia.org/resource/Howard_Hansen,1.0
Martin,http://dbpedia.org/resource/Martin,1.0
Hansen,http://dbpedia.org/resource/Hansen,1.0
T. E. Lawrence,http://dbpedia.org/resource/T._E._Lawrence,1.0
Lawrence,http://dbpedia.org/resource/Lawrence,1.0
Victor Hugo,http://dbpedia.org/resource/Victor_Hugo,1.0
Cromwell,http://dbpedia.org/resource/Cromwell,1.0
Hernani,http://dbpedia.org/resource/Hernani,1.0
Lucrèce Borgia,http://dbpedia.org/resource/Lucrèce_Borgia,1.0
Ruy Blas,http://dbpedia.org/resource/Ruy_Blas,1.0
Odes et Ballades paru,Not Found,0.0
Les Feuilles d'automne,http://dbpedia.org/resource/Les_Feuilles_d'automne,1.0
Les Contemplations,http://dbpedia.org/resource/Les_Contemplations,1.0
Napoléon III,http://dbpedia.org/resource/Napoléon_III,1.0
Joseph Bonaparte,http://dbpedia.org/resource/Joseph_Bonaparte,1.0
Sophie Trébuchet,http://dbpedia.org/resource/Sophie_Trébuchet,1.0
Ce siècle avait deux ans,Not Found,0.0
Abel Joseph,Not Found,0.0
Eugène,http://dbpedia.org/resource/Eugène,1.0
Cordier,http://dbpedia.org/resource/Cordier,1.0
D'après Adèle Foucher,Not Found,0.0
