subject,relation,object,sentence,source_url
Asimov,write,mysteries,"Best known for his hard science fiction, Asimov also wrote mysteries and fantasy, as well as popular science and other non-fiction, including guides t",https://en.wikipedia.org/wiki/Isaac_Asimov
books,win,Award,"Asimov's most famous work is the Foundation series,[3] the first three books of which won the one-time Hugo Award for ""Best All-Time Series"" in 1966.[",https://en.wikipedia.org/wiki/Isaac_Asimov
It,transplant,History,It transplants Edward Gibbon's The History of the Decline and Fall of the Roman Empire to far future.,https://en.wikipedia.org/wiki/Isaac_Asimov
which,include,works,"His other major series are the Galactic Empire series and the Robot series, which include major works such as The Caves of Steel and The Naked Sun, bo",https://en.wikipedia.org/wiki/Isaac_Asimov
he,link,future,"Later, with Foundation and Earth (1986), he linked this distant future to the Robot series, creating a unified ""future history"" for his works.[5]",https://en.wikipedia.org/wiki/Isaac_Asimov
He,write,stories,"He also wrote more than 380 short stories, including the social science fiction novelette ""Nightfall"", which in 1964 was voted the best short science ",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,write,series,Asimov wrote the Lucky Starr series of juvenile science-fiction novels using the pen name Paul French.[6],https://en.wikipedia.org/wiki/Isaac_Asimov
Examples,include,Guide,"Examples include Guide to Science, the three-volume Understanding Physics, and Asimov's Chronology of Science and Discovery.",https://en.wikipedia.org/wiki/Isaac_Asimov
father,spell,it,"When the family arrived in the United States in 1923 and their name had to be spelled in the Latin alphabet, Asimov's father spelled it with an S, bel",https://en.wikipedia.org/wiki/Isaac_Asimov
This,inspire,one,"This later inspired one of Asimov's short stories, ""Spell My Name with an S"".[15]
Asimov refused early suggestions of using a more common name as a ps",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,refuse,suggestions,"This later inspired one of Asimov's short stories, ""Spell My Name with an S"".[15]
Asimov refused early suggestions of using a more common name as a ps",https://en.wikipedia.org/wiki/Isaac_Asimov
recognizability,help,career,"This later inspired one of Asimov's short stories, ""Spell My Name with an S"".[15]
Asimov refused early suggestions of using a more common name as a ps",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,celebrate,birthday,"Asimov celebrated his birthday on January 2.[a]
Asimov's parents were Russian Jews, Anna Rachel (née Berman) and Judah Asimov, the son of a miller.[18",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,develop,pneumonia,"In 1921, Asimov and 16 other children in Petrovichi developed double pneumonia.",https://en.wikipedia.org/wiki/Isaac_Asimov
He,have,siblings,"He had two younger siblings: a sister, Marcia (born Manya;[22] June 17, 1922 – April 2, 2011),[23] and a brother, Stanley (July 25, 1929 – August 16, ",https://en.wikipedia.org/wiki/Isaac_Asimov
He,write,essays,"He later wrote two essays about his family's arrival in America: ""Ellis Island and I"" (in The Tyrannosaurus Prescription, 1988) and ""Ellis Island: Ent",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,teach,himself,"Growing up in Brooklyn, New York, Asimov taught himself to read at the age of five (and later taught his sister to read as well, enabling her to enter",https://en.wikipedia.org/wiki/Isaac_Asimov
edit]Asimov,attend,schools,"Asimov was also a frequent patron of the Brooklyn Public Library during his formative years.[37]
Education and career
[edit]Asimov attended New York C",https://en.wikipedia.org/wiki/Isaac_Asimov
he,attend,College,"Graduating at 15, he attended the City College of New York for several days before accepting a scholarship at Seth Low Junior College.",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,finish,degree,"After Seth Low Junior College closed in 1936, Asimov finished his Bachelor of Science degree at Columbia's Morningside Heights campus (later the Colum",https://en.wikipedia.org/wiki/Isaac_Asimov
Pollack,grant,doctorate,"(In 1983, Dr. Robert Pollack [dean of Columbia College, 1982–1989] granted Asimov an honorary doctorate from Columbia College after requiring that Asi",https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,place,foot,"(In 1983, Dr. Robert Pollack [dean of Columbia College, 1982–1989] granted Asimov an honorary doctorate from Columbia College after requiring that Asi",https://en.wikipedia.org/wiki/Isaac_Asimov
He,complete,degree,He completed his Master of Arts degree in chemistry in 1941 and earned a Doctor of Philosophy degree in chemistry in 1948.[e][46][47],https://en.wikipedia.org/wiki/Isaac_Asimov
Asimov,offer,position,"He was promoted to corporal on July 11 before receiving an honorable discharge on July 26, 1946.[53][f]
After completing his doctorate and a postdocto",https://en.wikipedia.org/wiki/Isaac_Asimov
who,contact,Asimov,"This was in large part due to his years-long correspondence with William Boyd, a former associate professor of biochemistry at Boston University, who ",https://en.wikipedia.org/wiki/Isaac_Asimov
he,donate,them,"Asimov's personal papers from 1965 onward are archived at the university's Mugar Memorial Library, to which he donated them at the request of curator ",https://en.wikipedia.org/wiki/Isaac_Asimov
Frank,follow,them,"In 1939, his parents and sister had moved to Los Angeles, California, so Frank followed them.",https://en.wikipedia.org/wiki/Frank_Herbert
