entity,type,source_url
The Whitney Museum of American Art,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Spanish Gothic,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
1192–1316,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Honolulu,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Gloucester Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Khajuraho,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Tombs and memorials,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Süleymaniye Mosque,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
shrine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
C.E.,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Shore Temple,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Ukraine,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Mosque of Bāb al-Mardūm,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Postal Savings Bank,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Great Mosque of Djenné,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Sainte-Chapelle,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Acoma Pueblo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Palenque,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
The Cappella Palatina,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
San Carlo,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
B.C.E,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
El Escorial,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Indians of Canada Pavilion,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Cities -,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Indonesia,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Po Nagar Temple,ORG,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Bukhara,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
Lincoln Cathedral,LOC,https://smarthistory.org/curated-guide/global-history-of-architecture-syllabus/
